File,Linea,Edge Case,Severità,Tipo Problema,Impatto,Fix Suggerito
Frontendcloud.py,4813-4815,country.strip() su potentially None,MEDIA,String Operation,TypeError se country None,"country = (country or """").strip()"
auto_features.py,165,league_name.lower() su None,MEDIA,String Operation,AttributeError se league_name None,league_lower = (league_name or """").lower()"
auto_features.py,170,name.lower() in loop senza None check,MEDIA,String Operation,AttributeError se name None,if name: if name.lower() == league_lower:"
Frontendcloud.py,8856,bare except clause,MEDIA,Exception Handling,Nasconde KeyboardInterrupt SystemExit,"except (ValueError RuntimeError KeyError) as e:"
Frontendcloud.py,8989,bare except clause,MEDIA,Exception Handling,Nasconde eccezioni critiche,except (ValueError RuntimeError) as e:"
Frontendcloud.py,8996,bare except clause,MEDIA,Exception Handling,Nasconde eccezioni critiche,except (ValueError RuntimeError) as e:"
Frontendcloud.py,9003,bare except clause,MEDIA,Exception Handling,Nasconde eccezioni critiche,except (ValueError RuntimeError) as e:"
Frontendcloud.py,10670,bare except: dt = datetime.now(),MEDIA,Exception Handling,Nasconde errori di parsing,except (ValueError OSError) as e:"
Frontendcloud.py,11958,bare except: pass,MEDIA,Exception Handling,Nasconde errori silenziosamente,except Exception as e: logger.warning(f'...')"
Frontendcloud.py,12426,bare except: return [],MEDIA,Exception Handling,Nasconde errori e ritorna fallback,except (IOError OSError ValueError) as e:"
dashboard.py,226,df_profit['cumulative_profit'].cumsum() su 1 riga,BASSA,DataFrame Operation,Semanticamente scorretto con 1 riga,if len(df_profit) > 1: df_profit['cumulative_profit'] = ..."
Frontendcloud.py,3930,historical_matches['home_score'].mean() su potenziale vuoto,MEDIA,DataFrame Operation,NaN se DataFrame vuoto,if len(historical_matches) > 0: home_goals_avg = ... else: home_goals_avg = 1.5"
auto_features.py,383,datetime_str.replace() su potentially None,MEDIA,None Check + DateTime,AttributeError se datetime_str None,if not datetime_str: raise ValueError(...)"
Frontendcloud.py,2224,datetime.fromtimestamp() con timestamp invalid,MEDIA,DateTime,ValueError se timestamp overflow,try: forecast_dt = datetime.fromtimestamp(int(...)) except: forecast_dt = datetime.now()"
auto_features.py,78-79,json.load() senza protezione,MEDIA,File I/O,JSONDecodeError IOError se file corrotto,try: data = json.load(f) except json.JSONDecodeError: handle_error()"
advanced_features.py,330,pd.read_csv() senza protezione,MEDIA,File I/O,FileNotFoundError PermissionError,try: df = pd.read_csv(csv_path) except FileNotFoundError: handle_error()"
api_manager.py,376-377,urllib.request.urlopen() charset issue,MEDIA,Network I/O,UnicodeDecodeError con charset non UTF-8,response.read().decode('utf-8' errors='replace')"
advanced_features.py,761-762,max(lambda_h_start 1e-9) epsilon troppo piccolo,MEDIA,Division by Zero,Statistiche distorte con tiny values,epsilon = 0.1; ... / max(abs(...) epsilon)"
Frontendcloud.py,1275-1276,probs.sum() == 0 gestione fallback,MEDIA,Division by Zero,Fallback uniforme potrebbe essere scorretto,if np.all(np.isfinite(fair_probs)): validate()"
Frontendcloud.py,4484,assume 18 squadre in campionato,MEDIA,Hardcoded Assumption,Calcoli scorretti per altri campionati,league_teams_count = get_league_param(league_code 'num_teams')"
Frontendcloud.py,3949,assume almeno 3 risultati storici,MEDIA,Hardcoded Assumption,Media non rappresentativa con poco storico,if len(historical_matches) >= 5: ... else: use_prior()"
api_manager.py,301,assume 1 call / 6 seconds rate limit,MEDIA,Hardcoded Assumption,Rate limit violation su endpoint diversi,implement_per_endpoint_rate_limiter()"
